Section,Region,District,Chiefdom,Location,Facility,Type,InCharge,Contact,Year,Month,AllOut,Suspected,Tested,Confirmed,Treated,Presumed,ThresholdAllOut,ThresholdSuspected,ThresholdTested,ThresholdConfirmed,ThresholdTreated,ThresholdPresumed,LowerBoundAllOut,UpperBoundAllOut,LowerBoundSuspected,UpperBoundSuspected,LowerBoundTested,UpperBoundTested,LowerBoundConfirmed,UpperBoundConfirmed,LowerBoundTreated,UpperBoundTreated
Surveillance,,,,,Gbeika CHP,,,,2025,November,111,104,104,53,53,0,212.0,190.0,190.0,127.0,127.0,50,28.0,212.0,30.0,190.0,30.0,190.0,7.0,127.0,7.0,127.0
Surveillance,,,,,Gbeika CHP,,,,2025,December,82,79,79,38,38,0,212.0,190.0,190.0,127.0,127.0,50,28.0,212.0,30.0,190.0,30.0,190.0,7.0,127.0,7.0,127.0
Surveillance,,,,,Bombohun MCHP,,,,2025,January,129,124,124,79,78,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,February,194,166,166,55,55,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,March,162,98,98,57,35,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,April,195,132,132,68,68,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,May,157,166,166,69,69,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,June,189,141,141,60,60,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,July,190,142,141,75,75,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,August,154,139,139,70,70,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,September,169,134,134,65,65,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,October,222,217,217,75,75,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,November,148,250,250,63,63,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Bombohun MCHP,,,,2025,December,177,122,122,52,50,0,249.5,217.0,217.0,97.5,97.5,50,101.5,249.5,81.0,217.0,81.0,217.0,37.5,97.5,37.5,97.5
Surveillance,,,,,Daru CHC,,,,2025,January,376,233,263,185,185,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,February,330,300,300,142,142,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,March,215,184,153,112,112,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,April,226,180,180,111,111,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,May,261,223,223,137,137,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,June,302,299,299,186,186,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,July,294,233,233,140,140,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,August,157,155,155,88,88,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,September,510,133,133,77,77,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,October,174,166,178,92,96,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,November,357,209,209,125,110,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Daru CHC,,,,2025,December,330,192,202,148,91,0,553.5,312.5,390.5,203.5,211.0,50,29.5,553.5,100.5,312.5,50.5,390.5,55.5,203.5,27.0,211.0
Surveillance,,,,,Kambama CHP,,,,2025,January,305,156,156,74,71,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,February,318,160,160,79,79,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,March,274,128,148,73,61,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,April,301,152,152,85,85,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,May,453,335,335,168,168,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,June,413,316,316,155,85,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,July,308,217,217,122,57,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,August,246,160,160,103,104,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,September,247,142,142,84,84,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,October,211,150,150,94,89,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,November,298,199,80,80,80,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kambama CHP,,,,2025,December,249,130,140,54,64,0,421.5,317.5,320.5,186.5,116.0,50,145.5,421.5,49.5,317.5,44.5,320.5,14.5,186.5,44.0,116.0
Surveillance,,,,,Kortuma MCHP,,,,2025,January,124,93,97,62,62,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,February,161,118,118,89,89,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,March,122,96,96,60,60,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,April,158,127,127,102,102,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,May,123,98,98,70,70,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,June,126,97,97,49,2,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,July,115,89,89,59,42,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,August,140,98,98,66,66,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,September,103,83,83,55,39,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,October,149,100,100,64,64,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,November,138,115,115,76,76,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Kortuma MCHP,,,,2025,December,128,108,104,70,70,0,188.0,143.5,142.0,100.0,100.0,50,84.0,188.0,67.5,143.5,70.0,142.0,36.0,100.0,36.0,100.0
Surveillance,,,,,Mamabu CHP,,,,2025,January,339,146,146,70,70,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,February,266,120,120,37,37,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,March,235,105,105,31,31,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,April,240,112,112,36,36,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,May,252,132,132,59,59,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,June,348,163,163,98,98,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,July,319,160,160,86,88,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,August,357,187,185,129,128,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,September,341,180,180,129,129,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,October,358,179,179,104,104,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,November,256,123,123,47,47,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Mamabu CHP,,,,2025,December,245,131,131,56,56,0,492.0,263.0,263.0,189.5,189.5,50,108.0,492.0,39.0,263.0,39.0,263.0,0,189.5,0,189.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,January,172,90,90,44,42,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,February,188,71,71,36,35,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,March,191,81,81,37,37,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,April,209,99,99,61,62,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,May,256,162,162,124,124,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,June,214,158,168,126,105,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,July,251,146,146,103,103,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,August,164,98,98,84,84,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,September,165,93,93,61,61,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,October,174,115,115,74,73,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,November,167,125,125,62,62,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Njala-Grima CHP,,,,2025,December,145,76,74,34,23,0,284.5,230.0,230.0,191.5,194.5,50,96.5,284.5,6.0,230.0,6.0,230.0,0,191.5,0,194.5
Surveillance,,,,,Nyeama CHP,,,,2025,January,210,93,95,42,39,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,February,200,71,71,37,37,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,March,223,87,87,44,44,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,April,235,129,129,59,59,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,May,236,98,98,54,54,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,June,216,101,101,59,59,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,July,216,110,110,58,58,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,August,226,99,99,67,67,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,September,212,90,90,59,59,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,October,182,100,100,50,50,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,November,167,99,99,50,50,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Nyeama CHP,,,,2025,December,206,87,87,55,55,0,256.0,117.5,117.5,72.5,72.5,50,176.0,256.0,73.5,117.5,73.5,117.5,36.5,72.5,36.5,72.5
Surveillance,,,,,Pellie CHP,,,,2025,January,218,121,121,42,37,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,February,169,81,81,39,39,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,March,157,79,79,29,29,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,April,234,118,118,63,63,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,May,314,216,216,139,139,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,June,362,272,272,147,147,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,July,343,204,82,54,54,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,August,215,146,146,77,61,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,September,162,112,85,49,49,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,October,166,102,102,45,69,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,November,195,122,118,62,62,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pellie CHP,,,,2025,December,183,109,109,67,67,0,531.5,346.5,237.5,125.0,99.0,50,0,531.5,0,346.5,0,237.5,0,125.0,19.0,99.0
Surveillance,,,,,Pewama CHP,,,,2025,January,189,158,158,57,57,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,February,144,114,114,51,51,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,March,178,161,161,63,63,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,April,184,146,146,67,67,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,May,185,143,143,71,71,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,June,197,161,161,73,73,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,July,178,143,143,56,56,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,August,192,161,161,69,69,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,September,192,157,157,66,66,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,October,180,162,162,79,79,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,November,168,141,141,62,62,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,Pewama CHP,,,,2025,December,181,140,140,73,68,0,213.0,188.0,188.0,89.5,84.5,50,157.0,213.0,116.0,188.0,116.0,188.0,45.5,89.5,48.5,84.5
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,January,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,February,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,March,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,April,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,May,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,June,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,July,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,August,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,September,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,October,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,November,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,SWAKAB (Jawei) Clinic,,,,2025,December,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Dia CHC,,,,2025,January,310,225,225,137,137,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,February,360,212,212,134,134,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,March,255,194,194,136,136,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,April,293,163,163,110,110,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,May,326,324,324,211,211,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,June,274,246,244,151,151,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,July,306,283,283,201,201,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,August,317,293,293,198,198,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,September,233,190,190,110,110,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,October,258,244,244,130,130,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,November,180,154,154,83,83,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Dia CHC,,,,2025,December,210,169,169,60,60,0,410.0,422.5,422.5,330.0,330.0,50,162.0,410.0,50.5,422.5,50.5,422.5,0,330.0,0,330.0
Surveillance,,,,,Foidu CHP,,,,2025,January,300,129,129,82,82,0,568.0,192.0,192.0,109.0,113.5,50,72.0,568.0,56.0,192.0,56.0,192.0,37.0,109.0,29.5,113.5
Surveillance,,,,,Foidu CHP,,,,2025,February,309,107,107,64,64,0,568.0,192.0,192.0,109.0,113.5,50,72.0,568.0,56.0,192.0,56.0,192.0,37.0,109.0,29.5,113.5
Surveillance,,,,,Foidu CHP,,,,2025,March,242,100,100,65,67,0,568.0,192.0,192.0,109.0,113.5,50,72.0,568.0,56.0,192.0,56.0,192.0,37.0,109.0,29.5,113.5
Surveillance,,,,,Foidu CHP,,,,2025,April,260,135,135,85,85,0,568.0,192.0,192.0,109.0,113.5,50,72.0,568.0,56.0,192.0,56.0,192.0,37.0,109.0,29.5,113.5
Surveillance,,,,,Foidu CHP,,,,2025,May,258,142,142,88,88,0,568.0,192.0,192.0,109.0,113.5,50,72.0,568.0,56.0,192.0,56.0,192.0,37.0,109.0,29.5,113.5
Surveillance,,,,,Foidu CHP,,,,2025,June,362,149,149,79,79,0,568.0,192.0,192.0,109.0,113.5,50,72.0,568.0,56.0,192.0,56.0,192.0,37.0,109.0,29.5,113.5
